,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
4987,2021-10-27 23:00:00,0.75194,0.752,0.75167,0.75181,1154,0,0,10000
4988,2021-10-28 00:00:00,0.75133,0.75177,0.75125,0.75167,296,14,0,10000
4989,2021-10-28 01:00:00,0.75172,0.75197,0.75144,0.75145,615,0,0,10000
4990,2021-10-28 02:00:00,0.75147,0.75152,0.7497,0.75,1178,0,0,10000
4991,2021-10-28 03:00:00,0.75,0.7508,0.74937,0.74957,1932,0,0,10000
4992,2021-10-28 04:00:00,0.74958,0.74986,0.74798,0.74964,2851,0,0,10000
4993,2021-10-28 05:00:00,0.74964,0.75117,0.74955,0.75088,2337,0,0,10000
4994,2021-10-28 06:00:00,0.75088,0.75092,0.75035,0.75064,1715,0,0,10000
4995,2021-10-28 07:00:00,0.75065,0.75102,0.75037,0.75084,1393,0,0,10000
4996,2021-10-28 08:00:00,0.75084,0.7512,0.75036,0.75104,1445,0,0,10000
4997,2021-10-28 09:00:00,0.75103,0.7514,0.75066,0.75101,2803,0,0,10000
4998,2021-10-28 10:00:00,0.751,0.75236,0.75096,0.75185,3397,0,0,10000
4999,2021-10-28 11:00:00,0.75183,0.75207,0.75094,0.75121,3010,0,0,10000
5000,2021-10-28 12:00:00,0.75121,0.75146,0.75061,0.75121,2323,0,0,10000
5001,2021-10-28 13:00:00,0.75121,0.75255,0.75092,0.75248,1439,0,0,10000
5002,2021-10-28 14:00:00,0.75251,0.75289,0.75156,0.75228,2506,0,0,10000
5003,2021-10-28 15:00:00,0.75228,0.75253,0.75061,0.75106,5364,0,0,10000
5004,2021-10-28 16:00:00,0.75106,0.75342,0.75068,0.75288,6275,0,0,10000
5005,2021-10-28 17:00:00,0.75286,0.75517,0.75286,0.75479,5043,0,0,10000
5006,2021-10-28 18:00:00,0.75479,0.75542,0.75452,0.75462,3271,0,0,10000
5007,2021-10-28 19:00:00,0.75462,0.75557,0.7542,0.75455,2253,0,0,10000
5008,2021-10-28 20:00:00,0.75455,0.75496,0.75395,0.75433,2204,0,0,10000
5009,2021-10-28 21:00:00,0.75434,0.75446,0.75386,0.75386,1483,0,0,10000
5010,2021-10-28 22:00:00,0.75385,0.7545,0.75358,0.75434,1772,0,0,10000
5011,2021-10-28 23:00:00,0.75434,0.75469,0.75396,0.75438,1048,0,0,10000
5012,2021-10-29 00:00:00,0.75418,0.75443,0.75353,0.75422,228,4,0,10000
5013,2021-10-29 01:00:00,0.75422,0.75439,0.75266,0.75352,1003,0,0,10000
5014,2021-10-29 02:00:00,0.75352,0.75353,0.75304,0.75309,820,0,0,10000
5015,2021-10-29 03:00:00,0.75312,0.75457,0.75284,0.753,2366,0,0,10000
5016,2021-10-29 04:00:00,0.753,0.7544,0.75238,0.75422,2814,0,0,10000
5017,2021-10-29 05:00:00,0.75422,0.75445,0.75373,0.754,1605,0,0,10000
5018,2021-10-29 06:00:00,0.754,0.75484,0.75353,0.75474,1390,0,0,10000
5019,2021-10-29 07:00:00,0.75474,0.75554,0.75454,0.75456,1244,0,0,10000
5020,2021-10-29 08:00:00,0.75457,0.75516,0.75386,0.75433,2399,0,0,10000
5021,2021-10-29 09:00:00,0.75433,0.75445,0.75366,0.75369,2082,0,0,10000
5022,2021-10-29 10:00:00,0.75369,0.75516,0.75346,0.75466,3027,0,0,10000
5023,2021-10-29 11:00:00,0.75467,0.75471,0.75332,0.75341,2604,0,0,10000
5024,2021-10-29 12:00:00,0.75344,0.75382,0.7529,0.75376,2422,0,0,10000
5025,2021-10-29 13:00:00,0.75377,0.75432,0.75352,0.75395,2416,0,0,10000
5026,2021-10-29 14:00:00,0.75392,0.754,0.75324,0.75354,1591,0,0,10000
5027,2021-10-29 15:00:00,0.75354,0.75394,0.75178,0.75223,5138,0,0,10000
5028,2021-10-29 16:00:00,0.75223,0.7529,0.75173,0.75199,5203,0,0,10000
5029,2021-10-29 17:00:00,0.75199,0.75234,0.75051,0.75104,5745,0,0,10000
5030,2021-10-29 18:00:00,0.75105,0.75164,0.75003,0.75088,4835,0,0,10000
5031,2021-10-29 19:00:00,0.75087,0.7512,0.75034,0.75108,2625,0,0,10000
5032,2021-10-29 20:00:00,0.75108,0.75218,0.75099,0.75172,1786,0,0,10000
5033,2021-10-29 21:00:00,0.75172,0.75259,0.75126,0.75259,2296,0,0,10000
5034,2021-10-29 22:00:00,0.7526,0.75261,0.75154,0.75222,2132,0,0,10000
5035,2021-10-29 23:00:00,0.75221,0.75264,0.75202,0.75227,777,0,0,10000
5036,2021-11-01 00:00:00,0.7508,0.75171,0.75065,0.75101,302,38,0,10000
5037,2021-11-01 01:00:00,0.75127,0.75207,0.75127,0.75155,817,0,0,10000
5038,2021-11-01 02:00:00,0.75155,0.75195,0.75121,0.75178,757,0,0,10000
5039,2021-11-01 03:00:00,0.75185,0.75248,0.75077,0.75112,1796,0,0,10000
5040,2021-11-01 04:00:00,0.75109,0.75168,0.75054,0.75151,2075,0,0,10000
5041,2021-11-01 05:00:00,0.75147,0.75148,0.75069,0.75128,1458,0,0,10000
5042,2021-11-01 06:00:00,0.75128,0.75131,0.75046,0.75058,1019,0,0,10000
5043,2021-11-01 07:00:00,0.75057,0.75064,0.74998,0.75038,1243,0,0,10000
5044,2021-11-01 08:00:00,0.75038,0.75138,0.75038,0.75128,1432,0,0,10000
5045,2021-11-01 09:00:00,0.75128,0.75133,0.74994,0.75006,1545,0,0,10000
5046,2021-11-01 10:00:00,0.75008,0.75049,0.74861,0.74911,2357,0,0,10000
5047,2021-11-01 11:00:00,0.74909,0.75029,0.74904,0.75006,2819,0,0,10000
5048,2021-11-01 12:00:00,0.75007,0.75085,0.74974,0.75028,2525,0,0,10000
5049,2021-11-01 13:00:00,0.75029,0.75072,0.7501,0.75035,1895,0,0,10000
5050,2021-11-01 14:00:00,0.75035,0.75178,0.75028,0.75155,1540,0,0,10000
5051,2021-11-01 15:00:00,0.75156,0.75187,0.75128,0.75166,2704,0,0,10000
5052,2021-11-01 16:00:00,0.75167,0.75258,0.75138,0.75195,3855,0,0,10000
