,time,open,high,low,close,tick_volume,spread,real_volume
3761,2020-08-17 17:00:00,76.544,76.617,76.405,76.407,5055,0,0
3762,2020-08-17 18:00:00,76.407,76.46,76.35,76.416,3764,0,0
3763,2020-08-17 19:00:00,76.416,76.469,76.401,76.432,2235,0,0
3764,2020-08-17 20:00:00,76.432,76.452,76.409,76.423,1619,0,0
3765,2020-08-17 21:00:00,76.423,76.469,76.405,76.427,1940,0,0
3766,2020-08-17 22:00:00,76.426,76.508,76.411,76.508,1884,0,0
3767,2020-08-17 23:00:00,76.508,76.545,76.47,76.477,1281,0,0
3768,2020-08-18 00:00:00,76.47,76.52,76.416,76.456,1443,12,0
3769,2020-08-18 01:00:00,76.456,76.49,76.442,76.463,1226,1,0
3770,2020-08-18 02:00:00,76.461,76.52,76.441,76.471,1506,0,0
3771,2020-08-18 03:00:00,76.471,76.514,76.392,76.422,3661,0,0
3772,2020-08-18 04:00:00,76.422,76.479,76.32,76.366,3844,0,0
3773,2020-08-18 05:00:00,76.368,76.37,76.199,76.218,3266,0,0
3774,2020-08-18 06:00:00,76.207,76.281,76.156,76.262,2675,0,0
3775,2020-08-18 07:00:00,76.262,76.33,76.258,76.314,1841,0,0
3776,2020-08-18 08:00:00,76.314,76.344,76.277,76.3,1802,0,0
3777,2020-08-18 09:00:00,76.3,76.324,76.228,76.26,3444,0,0
3778,2020-08-18 10:00:00,76.259,76.319,76.177,76.25,5353,0,0
3779,2020-08-18 11:00:00,76.249,76.406,76.235,76.385,4245,0,0
3780,2020-08-18 12:00:00,76.385,76.412,76.331,76.374,3397,0,0
3781,2020-08-18 13:00:00,76.374,76.409,76.31,76.331,2886,0,0
3782,2020-08-18 14:00:00,76.33,76.369,76.292,76.33,2743,0,0
3783,2020-08-18 15:00:00,76.33,76.521,76.308,76.48,4611,0,0
3784,2020-08-18 16:00:00,76.48,76.549,76.402,76.424,6384,0,0
3785,2020-08-18 17:00:00,76.424,76.437,76.117,76.313,8599,0,0
3786,2020-08-18 18:00:00,76.315,76.327,76.249,76.257,4065,0,0
3787,2020-08-18 19:00:00,76.257,76.308,76.209,76.274,3014,0,0
3788,2020-08-18 20:00:00,76.274,76.335,76.258,76.307,2266,0,0
