Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,161580,2024-03-08,4661.409999999993,-1.0,2,0.0,-0.7145633544683607,True,132,159,291,"{'r': -0.714563, 'l': 1070, 't': 393.566503}",False
1080,162650,2024-03-08,7315.140000000004,-0.9093785,2,0.0,-0.2611939255039942,True,135,143,278,"{'r': -0.261194, 'l': 1070, 't': 396.04707}",False
1080,163720,2024-03-08,4610.810000000004,-1.0,1,0.0,-0.7273055603486773,True,118,159,277,"{'r': -0.727306, 'l': 1070, 't': 398.791499}",False
1080,164790,2024-03-08,11336.499999999993,-0.22393662,1,0.0,0.17709345035218713,True,117,122,239,"{'r': 0.177093, 'l': 1070, 't': 401.234266}",False
1080,165860,2024-03-08,7859.049999999999,-1.0,2,0.0,-0.18853696655077976,True,124,147,271,"{'r': -0.188537, 'l': 1070, 't': 403.669772}",False
1080,166930,2024-03-08,6589.409999999997,-1.0,2,0.0,-0.3700862624372268,True,128,144,272,"{'r': -0.370086, 'l': 1070, 't': 406.098758}",False
1080,168000,2024-03-08,7974.819999999988,-1.0,2,0.0,-0.17552721765667365,True,138,137,275,"{'r': -0.175527, 'l': 1070, 't': 408.785523}",False
1080,169070,2024-03-08,6510.620000000009,-1.0,2,0.0,-0.38164288321509876,True,135,155,290,"{'r': -0.381643, 'l': 1070, 't': 411.60499}",False
1080,170140,2024-03-08,5591.170000000003,-1.0,2,0.0,-0.5306475634709157,True,116,166,282,"{'r': -0.530648, 'l': 1070, 't': 414.453961}",False
1080,171210,2024-03-08,8016.850000000009,-1.0,0,-0.01206323307955649,-0.1720350832703153,True,133,156,289,"{'r': -0.172035, 'l': 1070, 't': 417.427689}",False
1080,172280,2024-03-08,5992.31,0.046337366,0,0.0,-0.45967978086732786,True,125,169,294,"{'r': -0.45968, 'l': 1070, 't': 420.396785}",False
1080,173350,2024-03-08,7321.300000000004,-0.7665993,0,-0.0120636377130365,-0.26082052024171126,True,133,161,294,"{'r': -0.260821, 'l': 1070, 't': 423.202128}",False
1080,174420,2024-03-08,6269.729999999995,-1.0,2,0.0,-0.41293052746052883,True,115,151,266,"{'r': -0.412931, 'l': 1070, 't': 425.937052}",False
1080,175490,2024-03-08,3605.0199999999995,-1.0,2,0.0,-0.9720479076289588,True,114,158,272,"{'r': -0.972048, 'l': 1070, 't': 428.814551}",False
